INSTITUTION_ID,ENTITY_CD,ENTITY_NAME,YEAR,PUPIL_COUNT_TOT,FEDERAL_EXP,PER_FEDERAL_EXP,STATE_LOCAL_EXP,PER_STATE_LOCAL_EXP,FED_STATE_LOCAL_EXP,PER_FED_STATE_LOCAL_EXP
800000055479,010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2019,347,151511,437,6422040,18507,6573551,18944
800000055480,010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2019,408,208136,510,4436224,10873,4644360,11383
800000055452,010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,2019,4440,1149023,259,72837496,16405,73986519,16664
800000055454,010306060003,ELSMERE ELEMENTARY SCHOOL,2019,279,78823,283,3764896,13494,3843719,13777
800000055455,010306060004,GLENMONT ELEMENTARY SCHOOL,2019,366,111721,305,4629185,12648,4740906,12953
800000055456,010306060005,HAMAGRAEL ELEMENTARY SCHOOL,2019,314,124461,396,4289235,13660,4413696,14056
800000055457,010306060006,SLINGERLANDS ELEMENTARY SCHOOL,2019,469,116996,249,4992856,10646,5109852,10895
800000055458,010306060007,BETHLEHEM CENTRAL MIDDLE SCHOOL,2019,1035,317063,306,12427468,12007,12744531,12314
800000055439,010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2019,1559,187622,120,17708031,11359,17895653,11479
800000062692,010306060009,EAGLE ELEMENTARY SCHOOL,2019,418,128520,307,4351082,10409,4479602,10717
800000055435,010402060000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,2019,1875,965962,515,34574766,18440,35540728,18955
800000055436,010402060001,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,2019,557,199002,357,7388970,13266,7587972,13623
800000055437,010402060002,ALBERTUS W BECKER SCHOOL,2019,429,356608,831,5246453,12229,5603062,13061
800000055438,010402060003,PIETER B COEYMANS SCHOOL,2019,468,311103,665,5391512,11520,5702615,12185
800000055448,010402060008,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL,2019,415,99248,239,5884665,14180,5983913,14419
800000055422,010500010000,COHOES CITY SCHOOL DISTRICT,2019,2019,2132029,1056,31110258,15409,33242287,16465
800000055424,010500010005,ABRAM LANSING SCHOOL,2019,384,680297,1772,3871406,10082,4551703,11853
800000055425,010500010006,VAN SCHAICK ISLAND SCHOOL,2019,175,310255,1773,2755589,15746,3065844,17519
800000055426,010500010007,COHOES HIGH SCHOOL,2019,539,210897,391,8174712,15166,8385609,15558
800000055443,010500010008,COHOES MIDDLE SCHOOL,2019,407,365909,899,5704936,14017,6070845,14916
800000055444,010500010009,HARMONY HILL SCHOOL,2019,370,413694,1118,4110110,11108,4523804,12226
800000055401,010601060000,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,2019,4780,1777435,372,85493429,17886,87270864,18258
800000055402,010601060003,ROESSLEVILLE SCHOOL,2019,400,392003,980,4528676,11322,4920679,12302
800000055403,010601060005,SADDLEWOOD ELEMENTARY SCHOOL,2019,396,55111,139,4835577,12211,4890688,12350
800000055404,010601060006,SHAKER ROAD ELEMENTARY SCHOOL,2019,341,85669,251,4227749,12398,4313418,12649
800000055406,010601060008,COLONIE CENTRAL HIGH SCHOOL,2019,1510,197793,131,22888482,15158,23086275,15289
800000055729,010100010000,ALBANY CITY SCHOOL DISTRICT,2019,9807,11474603,1170,192029679,19581,203504282,20751
800000055730,010100010014,MONTESSORI MAGNET SCHOOL,2019,317,158378,500,4285745,13520,4444123,14019
800000055731,010100010016,PINE HILLS ELEMENTARY SCHOOL,2019,369,258399,700,4372387,11849,4630786,12550
800000055732,010100010018,DELAWARE COMMUNITY SCHOOL,2019,419,123876,296,5141002,12270,5264878,12565
800000055733,010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2019,468,48416,103,6393775,13662,6442191,13765
800000055734,010100010020,NORTH ALBANY ACADEMY,2019,246,162946,662,5788005,23528,5950951,24191
800000055736,010100010023,ALBANY SCHOOL OF HUMANITIES,2019,500,154008,308,6978532,13957,7132540,14265
800000055738,010100010027,EAGLE POINT ELEMENTARY SCHOOL,2019,309,175265,567,4118826,13330,4294091,13897
800000055739,010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2019,437,471236,1078,4736434,10839,5207670,11917
800000055740,010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2019,521,525490,1009,6597154,12662,7122644,13671
800000055741,010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2019,690,211689,307,9652212,13989,9863901,14296
800000055743,010100010034,ALBANY HIGH SCHOOL,2019,2548,787988,309,33028406,12962,33816394,13272
800000055764,010100010039,ARBOR HILL ELEMENTARY SCHOOL,2019,283,593996,2099,5007883,17696,5601879,19795
800000058130,010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2019,270,527263,1953,4562676,16899,5089939,18852
800000058131,010100010044,SHERIDAN PREPARATORY ACADEMY,2019,324,394268,1217,4336230,13383,4730498,14600
800000059069,010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2019,673,257159,382,9004339,13379,9261498,13762
800000089609,010100010050,EDMUND J O'NEAL MS OF EXCELLENCE,2019,500,298063,596,7672143,15344,7970206,15940
800000055520,010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2019,324,174526,539,4645770,14339,4820296,14877
800000055503,010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,2019,322,167251,519,4584240,14237,4751491,14756
800000057554,010100860867,KIPP TECH VALLEY CHARTER SCHOOL,2019,604,915313,1515,8733998,14460,9649311,15976
800000059286,010100860892,HENRY JOHNSON CHARTER SCHOOL,2019,333,166113,499,5849411,17566,6015524,18065
800000059310,010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2019,647,357699,553,9833459,15199,10191158,15751
800000059776,010100860907,GREEN TECH HIGH CHARTER SCHOOL,2019,338,153109,453,4891832,14473,5044941,14926
800000068133,010100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2019,353,287359,814,5267838,14923,5555197,15737
800000055478,010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,2019,755,359647,476,15204472,20138,15564119,20615
800000055427,010601060010,FOREST PARK ELEMENTARY SCHOOL,2019,298,67121,225,5574618,18707,5641739,18932
800000055388,010601060011,VEEDER ELEMENTARY SCHOOL,2019,432,48987,113,5529825,12801,5578812,12914
800000055389,010601060012,SAND CREEK MIDDLE SCHOOL,2019,796,316068,397,11914562,14968,12230630,15365
800000055390,010601060013,LISHA KILL MIDDLE SCHOOL,2019,607,157464,259,9232990,15211,9390454,15470
800000055344,010615020000,MENANDS UNION FREE SCHOOL DISTRICT,2019,296,190261,643,5015703,16945,5205964,17588
800000055345,010615020001,MENANDS SCHOOL,2019,296,169787,574,3473690,11735,3643477,12309
800000061851,010623060000,NORTH COLONIE CSD,2019,5831,2344564,402,93908835,16105,96253399,16507
800000055362,010623060002,BLUE CREEK SCHOOL,2019,487,429202,881,5717157,11740,6146359,12621
800000055363,010623060003,BOGHT HILLS SCHOOL,2019,579,130199,225,5875595,10148,6005794,10373
800000055364,010623060004,FORTS FERRY SCHOOL,2019,534,312311,585,5670639,10619,5982950,11204
800000055365,010623060006,LATHAM RIDGE SCHOOL,2019,541,79571,147,5516732,10197,5596303,10344
800000055366,010623060007,LOUDONVILLE SCHOOL,2019,335,85355,255,3840326,11464,3925681,11718
800000055367,010623060008,SOUTHGATE SCHOOL,2019,446,86882,195,6652021,14915,6738903,15110
800000055374,010623060009,SHAKER JUNIOR HIGH SCHOOL,2019,886,190877,215,12048033,13598,12238910,13814
800000055375,010623060010,SHAKER HIGH SCHOOL,2019,2023,385011,190,25727274,12717,26112285,12908
800000055319,010701030000,GREEN ISLAND UNION FREE SCHOOL DISTRICT,2019,284,199888,704,5555007,19560,5754895,20264
800000055320,010701030001,HEATLY SCHOOL,2019,267,199888,749,3723483,13946,3923371,14694
800000055306,010802060000,GUILDERLAND CENTRAL SCHOOL DISTRICT,2019,4807,1456618,303,84018805,17478,85475423,17781
800000055325,010802060001,ALTAMONT ELEMENTARY SCHOOL,2019,284,120759,425,4346611,15305,4467370,15730
800000055326,010802060003,GUILDERLAND ELEMENTARY SCHOOL,2019,545,70487,129,6420413,11781,6490900,11910
800000055327,010802060004,WESTMERE ELEMENTARY SCHOOL,2019,505,261802,518,5717611,11322,5979413,11840
800000055328,010802060005,GUILDERLAND HIGH SCHOOL,2019,1524,647838,425,22931465,15047,23579303,15472
800000055329,010802060007,LYNNWOOD ELEMENTARY SCHOOL,2019,404,184571,457,5058931,12522,5243502,12979
800000055295,010802060008,FARNSWORTH MIDDLE SCHOOL,2019,1088,161886,149,15586017,14325,15747903,14474
800000055296,010802060009,PINE BUSH ELEMENTARY SCHOOL,2019,457,9275,20,5502777,12041,5512052,12061
800000055278,011003060000,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,2019,1160,1012101,873,22036110,18997,23048211,19869
800000055279,011003060001,VOORHEESVILLE ELEMENTARY SCHOOL,2019,527,342018,649,6664143,12645,7006162,13294
800000055280,011003060002,CLAYTON A BOUTON HIGH SCHOOL,2019,360,73898,205,6768352,18801,6842249,19006
800000065437,011003060003,VOORHEESVILLE MIDDLE SCHOOL,2019,273,86547,317,3190209,11686,3276756,12003
800000055260,011200010000,WATERVLIET CITY SCHOOL DISTRICT,2019,1342,886333,660,16381198,12207,17267531,12867
800000055261,011200010002,WATERVLIET ELEMENTARY SCHOOL,2019,704,0,0,4907413,6971,4907413,6971
800000055262,011200010010,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,2019,567,0,0,5591513,9862,5591513,9862
800000055275,020101040000,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,2019,622,508122,817,10942152,17592,11450274,18409
800000055253,020101040001,ALFRED-ALMOND ELEMENTARY SCHOOL,2019,333,313988,943,3110060,9340,3424048,10282
800000055239,020101040002,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,2019,289,48189,167,4517097,15630,4565286,15797
800000055223,020601040000,ANDOVER CENTRAL SCHOOL DISTRICT,2019,302,460982,1526,7119338,23574,7580320,25100
800000055225,020601040001,ANDOVER SCHOOL,2019,302,460982,1526,4748678,15724,5209660,17251
800000055232,020702040000,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,2019,506,485745,960,12204599,24120,12690344,25080
800000055233,020702040001,GENESEE VALLEY CENTRAL SCHOOL,2019,506,339236,670,7830016,15474,8169252,16145
800000055215,020801040000,BELFAST CENTRAL SCHOOL DISTRICT,2019,336,336176,1001,7509997,22351,7846173,23352
800000055193,020801040001,BELFAST SCHOOL,2019,336,336176,1001,5228603,15561,5564779,16562
800000055188,021102040000,CANASERAGA CENTRAL SCHOOL DISTRICT,2019,238,518736,2180,4891660,20553,5410396,22733
