ENTITY_CD,ENTITY_NAME,YEAR,ATTENDANCE_RATE,DATA_REPORTED
010100010000,ALBANY CITY SCHOOL DISTRICT,2018,93,Y
010100010014,MONTESSORI MAGNET SCHOOL,2018,96,Y
010100010016,PINE HILLS ELEMENTARY SCHOOL,2018,93,Y
010100010018,DELAWARE COMMUNITY SCHOOL,2018,94,Y
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2018,95,Y
010100010020,NORTH ALBANY ACADEMY,2018,94,Y
010100010023,ALBANY SCHOOL OF HUMANITIES,2018,94,Y
010100010027,EAGLE POINT ELEMENTARY SCHOOL,2018,94,Y
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2018,94,Y
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2018,99,Y
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2018,92,Y
010100010034,ALBANY HIGH SCHOOL,2018,91,Y
010100010039,ARBOR HILL ELEMENTARY SCHOOL,2018,92,Y
010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2018,93,Y
010100010044,SHERIDAN PREPARATORY ACADEMY,2018,90,Y
010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2018,95,Y
010100010050,EDMUND J O'NEAL MS OF EXCELLENCE,2018,93,Y
010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2018,91,Y
010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,2018,91,Y
010100860867,KIPP TECH VALLEY CHARTER SCHOOL,2018,97,Y
010100860892,HENRY JOHNSON CHARTER SCHOOL,2018,93,Y
010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2018,93,Y
010100860907,GREEN TECH HIGH CHARTER SCHOOL,2018,88,Y
010100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2018,87,Y
010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,2018,95,Y
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2018,95,Y
010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2018,95,Y
010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,2018,96,Y
010306060003,ELSMERE ELEMENTARY SCHOOL,2018,97,Y
010306060004,GLENMONT ELEMENTARY SCHOOL,2018,97,Y
010306060005,HAMAGRAEL ELEMENTARY SCHOOL,2018,96,Y
010306060006,SLINGERLANDS ELEMENTARY SCHOOL,2018,97,Y
010306060007,BETHLEHEM CENTRAL MIDDLE SCHOOL,2018,97,Y
010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2018,95,Y
010306060009,EAGLE ELEMENTARY SCHOOL,2018,97,Y
010402060000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,2018,94,Y
010402060001,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,2018,93,Y
010402060002,ALBERTUS W BECKER SCHOOL,2018,96,Y
010402060003,PIETER B COEYMANS SCHOOL,2018,94,Y
010402060008,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL,2018,95,Y
010500010000,COHOES CITY SCHOOL DISTRICT,2018,93,Y
010500010005,ABRAM LANSING SCHOOL,2018,93,Y
010500010006,VAN SCHAICK ISLAND SCHOOL,2018,94,Y
010500010007,COHOES HIGH SCHOOL,2018,90,Y
010500010008,COHOES MIDDLE SCHOOL,2018,94,Y
010500010009,HARMONY HILL SCHOOL,2018,93,Y
010601060000,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,2018,95,Y
010601060003,ROESSLEVILLE SCHOOL,2018,95,Y
010601060005,SADDLEWOOD ELEMENTARY SCHOOL,2018,96,Y
010601060006,SHAKER ROAD ELEMENTARY SCHOOL,2018,96,Y
010601060008,COLONIE CENTRAL HIGH SCHOOL,2018,93,Y
010601060010,FOREST PARK ELEMENTARY SCHOOL,2018,96,Y
010601060011,VEEDER ELEMENTARY SCHOOL,2018,97,Y
010601060012,SAND CREEK MIDDLE SCHOOL,2018,95,Y
010601060013,LISHA KILL MIDDLE SCHOOL,2018,96,Y
010615020000,MENANDS UNION FREE SCHOOL DISTRICT,2018,95,Y
010615020001,MENANDS SCHOOL,2018,95,Y
010623060000,NORTH COLONIE CSD,2018,96,Y
010623060002,BLUE CREEK SCHOOL,2018,96,Y
010623060003,BOGHT HILLS SCHOOL,2018,96,Y
010623060004,FORTS FERRY SCHOOL,2018,96,Y
010623060006,LATHAM RIDGE SCHOOL,2018,96,Y
010623060007,LOUDONVILLE SCHOOL,2018,97,Y
010623060008,SOUTHGATE SCHOOL,2018,97,Y
010623060009,SHAKER JUNIOR HIGH SCHOOL,2018,97,Y
010623060010,SHAKER HIGH SCHOOL,2018,96,Y
010701030000,GREEN ISLAND UNION FREE SCHOOL DISTRICT,2018,93,Y
010701030001,HEATLY SCHOOL,2018,93,Y
010802060000,GUILDERLAND CENTRAL SCHOOL DISTRICT,2018,96,Y
010802060001,ALTAMONT ELEMENTARY SCHOOL,2018,96,Y
010802060003,GUILDERLAND ELEMENTARY SCHOOL,2018,96,Y
010802060004,WESTMERE ELEMENTARY SCHOOL,2018,96,Y
010802060005,GUILDERLAND HIGH SCHOOL,2018,96,Y
010802060007,LYNNWOOD ELEMENTARY SCHOOL,2018,96,Y
010802060008,FARNSWORTH MIDDLE SCHOOL,2018,96,Y
010802060009,PINE BUSH ELEMENTARY SCHOOL,2018,96,Y
011003060000,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,2018,97,Y
011003060001,VOORHEESVILLE ELEMENTARY SCHOOL,2018,96,Y
011003060002,CLAYTON A BOUTON HIGH SCHOOL,2018,98,Y
011003060003,VOORHEESVILLE MIDDLE SCHOOL,2018,96,Y
011200010000,WATERVLIET CITY SCHOOL DISTRICT,2018,93,Y
011200010002,WATERVLIET ELEMENTARY SCHOOL,2018,94,Y
011200010010,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,2018,92,Y
020101040000,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,2018,96,Y
020101040001,ALFRED-ALMOND ELEMENTARY SCHOOL,2018,96,Y
020101040002,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,2018,97,Y
020601040000,ANDOVER CENTRAL SCHOOL DISTRICT,2018,93,Y
020601040001,ANDOVER SCHOOL,2018,93,Y
020702040000,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,2018,93,Y
020702040001,GENESEE VALLEY CENTRAL SCHOOL,2018,93,Y
020801040000,BELFAST CENTRAL SCHOOL DISTRICT,2018,97,Y
020801040001,BELFAST SCHOOL,2018,97,Y
021102040000,CANASERAGA CENTRAL SCHOOL DISTRICT,2018,96,Y
021102040001,CANASERAGA SCHOOL,2018,96,Y
021601040000,FRIENDSHIP CENTRAL SCHOOL DISTRICT,2018,95,Y
021601040004,FRIENDSHIP CENTRAL SCHOOL,2018,95,Y
022001040000,FILLMORE CENTRAL SCHOOL DISTRICT,2018,96,Y
022001040001,FILLMORE CENTRAL SCHOOL,2018,96,Y
022101040000,WHITESVILLE CENTRAL SCHOOL DISTRICT,2018,97,Y
022101040001,WHITESVILLE CENTRAL SCHOOL,2018,97,Y
022302040000,CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,2018,95,Y
022302040001,CUBA-RUSHFORD HIGH SCHOOL,2018,94,Y
022302040002,CUBA-RUSHFORD ELEMENTARY SCHOOL,2018,95,Y
022302040004,CUBA-RUSHFORD MIDDLE SCHOOL,2018,95,Y
022401040000,SCIO CENTRAL SCHOOL DISTRICT,2018,98,Y
022401040003,SCIO CENTRAL SCHOOL,2018,98,Y
022601060000,WELLSVILLE CENTRAL SCHOOL DISTRICT,2018,96,Y
022601060004,WELLSVILLE SENIOR HIGH SCHOOL,2018,96,Y
022601060005,WELLSVILLE ELEMENTARY SCHOOL,2018,95,Y
022902040000,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,2018,92,Y
022902040001,BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL,2018,91,Y
022902040002,BOLIVAR-RICHBURG ELEMENTARY SCHOOL,2018,93,Y
022902040003,BOLIVAR-RICHBURG PRE-K PROGRAM,2018,,N
030101060000,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,2018,95,Y
030101060001,CHENANGO FORKS ELEMENTARY SCHOOL,2018,96,Y
030101060003,CHENANGO FORKS HIGH SCHOOL,2018,95,Y
030101060004,CHENANGO FORKS MIDDLE SCHOOL,2018,95,Y
030200010000,BINGHAMTON CITY SCHOOL DISTRICT,2018,91,Y
030200010002,CALVIN COOLIDGE SCHOOL,2018,91,Y
030200010005,BENJAMIN FRANKLIN ELEMENTARY SCHOOL,2018,91,Y
030200010008,THOMAS JEFFERSON SCHOOL,2018,94,Y
030200010011,MACARTHUR SCHOOL,2018,92,Y
030200010012,THEODORE ROOSEVELT SCHOOL,2018,92,Y
030200010014,WOODROW WILSON SCHOOL,2018,91,Y
030200010015,EAST MIDDLE SCHOOL,2018,92,Y
030200010016,WEST MIDDLE SCHOOL,2018,92,Y
030200010021,BINGHAMTON HIGH SCHOOL,2018,90,Y
030200010022,HORACE MANN SCHOOL,2018,90,Y
030501040000,HARPURSVILLE CENTRAL SCHOOL DISTRICT,2018,93,Y
030501040001,W A OLMSTED ELEMENTARY SCHOOL,2018,93,Y
030501040003,HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL,2018,93,Y
030601060000,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,2018,94,Y
030601060001,BROOKSIDE ELEMENTARY SCHOOL,2018,95,Y
030601060004,F P DONNELLY SCHOOL,2018,95,Y
030601060005,RICHARD T STANK MIDDLE SCHOOL,2018,95,Y
030601060006,SUSQUEHANNA VALLEY SENIOR HIGH SCHOOL,2018,93,Y
030701060000,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,2018,95,Y
030701060001,CHENANGO VALLEY HIGH SCHOOL,2018,93,Y
030701060003,CHENANGO BRIDGE ELEMENTARY SCHOOL,2018,96,Y
030701060004,PORT DICKINSON ELEMENTARY SCHOOL,2018,95,Y
030701060005,CHENANGO VALLEY MIDDLE SCHOOL,2018,96,Y
031101060000,MAINE-ENDWELL CENTRAL SCHOOL DISTRICT,2018,95,Y
031101060003,HOMER BRINK SCHOOL,2018,96,Y
031101060004,MAINE MEMORIAL SCHOOL,2018,95,Y
031101060005,MAINE-ENDWELL MIDDLE SCHOOL,2018,96,Y
031101060006,MAINE-ENDWELL SENIOR HIGH SCHOOL,2018,94,Y
031301040000,DEPOSIT CENTRAL SCHOOL DISTRICT,2018,94,Y
031301040002,DEPOSIT ELEMENTARY SCHOOL,2018,95,Y
031301040003,DEPOSIT MIDDLE-SENIOR HIGH SCHOOL,2018,93,Y
031401060000,WHITNEY POINT CENTRAL SCHOOL DISTRICT,2018,94,Y
031401060002,TIOUGHNIOGA RIVERSIDE ACADEMY,2018,95,Y
031401060004,WHITNEY POINT SENIOR HIGH SCHOOL,2018,92,Y
031401060005,CARYL E ADAMS PRIMARY SCHOOL,2018,95,Y
031501060000,UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,2018,93,Y
031501060001,CHARLES F JOHNSON JR ELEMENTARY SCHOOL,2018,93,Y
031501060002,GEORGE F JOHNSON ELEMENTARY SCHOOL,2018,95,Y
031501060007,LINNAEUS W WEST SCHOOL,2018,88,Y
031501060009,JENNIE F SNAPP MIDDLE SCHOOL,2018,94,Y
031501060012,UNION-ENDICOTT HIGH SCHOOL,2018,92,Y
031501060013,THOMAS J WATSON SR ELEMENTARY SCHOOL,2018,93,Y
031501060014,ANN G MCGUINNESS ELEMENTAR SCHOOL,2018,95,Y
031502060000,JOHNSON CITY CENTRAL SCHOOL DISTRICT,2018,93,Y
031502060001,JOHNSON CITY ELEMENTARY/INTERMEDIATE SCHOOL,2018,94,Y
031502060003,JOHNSON CITY ELEMENTARY/PRIMARY SCHOOL,2018,94,Y
031502060005,JOHNSON CITY MIDDLE SCHOOL,2018,94,Y
031502060006,JOHNSON CITY SENIOR HIGH SCHOOL,2018,91,Y
031601060000,VESTAL CENTRAL SCHOOL DISTRICT,2018,95,Y
031601060021,AFRICAN ROAD ELEMENTARY SCHOOL,2018,96,Y
031601060022,CLAYTON AVENUE ELEMENTARY SCHOOL,2018,96,Y
031601060023,GLENWOOD ELEMENTARY SCHOOL,2018,96,Y
031601060026,TIOGA HILLS ELEMENTARY SCHOOL,2018,96,Y
031601060028,VESTAL HILLS ELEMENTARY SCHOOL,2018,95,Y
031601060041,VESTAL MIDDLE SCHOOL,2018,95,Y
031601060051,VESTAL SENIOR HIGH SCHOOL,2018,95,Y
031701060000,WINDSOR CENTRAL SCHOOL DISTRICT,2018,96,Y
031701060002,FLOYD BELL ELEMENTARY SCHOOL,2018,95,Y
031701060003,C R WEEKS ELEMENTARY SCHOOL,2018,95,Y
031701060004,A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,2018,96,Y
031701060007,WINDSOR CENTRAL HIGH SCHOOL,2018,97,Y
040204040000,WEST VALLEY CENTRAL SCHOOL DISTRICT,2018,97,Y
040204040001,WEST VALLEY CENTRAL SCHOOL,2018,97,Y
040302060000,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,2018,96,Y
040302060001,ALLEGANY-LIMESTONE HIGH SCHOOL,2018,96,Y
040302060002,ALLEGANY-LIMESTONE ELEMENTARY SCHOOL,2018,96,Y
040901040000,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,2018,96,Y
040901040001,ELLICOTTVILLE ELEMENTARY SCHOOL,2018,96,Y
040901040002,ELLICOTTVILLE MIDDLE SCHOOL HIGH SCHOOL,2018,95,Y
041101040000,FRANKLINVILLE CENTRAL SCHOOL DISTRICT,2018,94,Y
041101040002,FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL,2018,95,Y
041101040003,FRANKLINVILLE ELEMENTARY SCHOOL,2018,94,Y
041401040000,HINSDALE CENTRAL SCHOOL DISTRICT,2018,96,Y
041401040001,HINSDALE CENTRAL SCHOOL,2018,96,Y
042302040000,CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,2018,94,Y
042302040002,CATTARAUGUS-LITTLE VALLEY ELEMENTARY SCHOOL,2018,95,Y
042302040003,CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL,2018,93,Y
042302040004,CATTARAUGUS-LITTLE VALLEY MIDDLE SCHOOL,2018,95,Y
042400010000,OLEAN CITY SCHOOL DISTRICT,2018,95,Y
042400010002,WASHINGTON WEST ELEMENTARY SCHOOL,2018,94,Y
042400010004,EAST VIEW ELEMENTARY SCHOOL,2018,95,Y
042400010013,OLEAN SENIOR HIGH SCHOOL,2018,95,Y
042400010016,OLEAN INTERMEDIATE-MIDDLE SCHOOL,2018,95,Y
042801060000,GOWANDA CENTRAL SCHOOL DISTRICT,2018,95,Y
042801060001,GOWANDA ELEMENTARY SCHOOL,2018,94,Y
042801060005,GOWANDA MIDDLE SCHOOL,2018,94,Y
042801060006,GOWANDA HIGH SCHOOL,2018,96,Y
042901040000,PORTVILLE CENTRAL SCHOOL DISTRICT,2018,96,Y
042901040001,PORTVILLE ELEMENTARY SCHOOL,2018,95,Y
042901040002,PORTVILLE JUNIOR-SENIOR HIGH SCHOOL,2018,96,Y
043001040000,RANDOLPH CENTRAL SCHOOL DISTRICT,2018,95,Y
043001040002,RANDOLPH SENIOR HIGH SCHOOL,2018,95,Y
043001040003,G N CHAPMAN ELEMENTARY SCHOOL,2018,95,Y
043011020000,RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT,2018,90,Y
043011020001,RANDOLPH ACADEMY,2018,93,Y
043011020002,RANDOLPH ACADEMYHAMBURG CAMPUS,2018,87,Y
043200050000,SALAMANCA CITY SCHOOL DISTRICT,2018,94,Y
043200050002,SALAMANCA JUNIOR/SENIOR HIGH SCHOOL,2018,93,Y
043200050004,PROSPECT ELEMENTARY SCHOOL,2018,94,Y
043200050005,SENECA ELEMENTARY SCHOOL,2018,94,Y
043501060000,YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT,2018,95,Y
043501060001,DELEVAN ELEMENTARY SCHOOL,2018,95,Y
043501060004,PIONEER MIDDLE SCHOOL,2018,95,Y
043501060005,ARCADE ELEMENTARY SCHOOL,2018,95,Y
043501060006,PIONEER SENIOR HIGH SCHOOL,2018,94,Y
050100010000,AUBURN CITY SCHOOL DISTRICT,2018,93,Y
050100010002,CASEY PARK ELEMENTARY SCHOOL,2018,93,Y
050100010004,GENESEE STREET ELEMENTARY SCHOOL,2018,92,Y
050100010005,HERMAN AVENUE ELEMENTARY SCHOOL,2018,95,Y
050100010007,OWASCO ELEMENTARY SCHOOL,2018,94,Y
050100010008,WILLIAM H SEWARD ELEMENTARY SCHOOL,2018,95,Y
050100010009,AUBURN JUNIOR HIGH SCHOOL,2018,93,Y
050100010013,AUBURN HIGH SCHOOL,2018,92,Y
050301040000,WEEDSPORT CENTRAL SCHOOL DISTRICT,2018,96,Y
050301040002,WEEDSPORT JUNIOR-SENIOR HIGH SCHOOL,2018,96,Y
050301040003,WEEDSPORT ELEMENTARY SCHOOL,2018,96,Y
050401040000,CATO-MERIDIAN CENTRAL SCHOOL DISTRICT,2018,94,Y
050401040001,CATO-MERIDIAN ELEMENTARY SCHOOL,2018,94,Y
050401040002,CATO-MERIDIAN MIDDLE SCHOOL,2018,95,Y
050401040003,CATO-MERIDIAN SENIOR HIGH SCHOOL,2018,95,Y
050701040000,SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT,2018,95,Y
050701040005,SOUTHERN CAYUGA  7-12 SECONDARY SCHOOL,2018,94,Y
050701040007,SOUTHERN CAYUGA ELEMENTARY SCHOOL,2018,95,Y
051101040000,PORT BYRON CENTRAL SCHOOL DISTRICT,2018,93,Y
051101040001,A A GATES ELEMENTARY SCHOOL,2018,94,Y
051101040004,PORT BYRON SENIOR HIGH SCHOOL,2018,92,Y
051301040000,MORAVIA CENTRAL SCHOOL DISTRICT,2018,95,Y
051301040001,MILLARD FILLMORE ELEMENTARY SCHOOL,2018,95,Y
051301040003,MORAVIA JUNIOR-SENIOR HIGH SCHOOL,2018,95,Y
051901040000,UNION SPRINGS CENTRAL SCHOOL DISTRICT,2018,95,Y
051901040003,CAYUGA ELEMENTARY SCHOOL,2018,95,Y
051901040005,UNION SPRINGS MIDDLE SCHOOL HIGH SCHOOL,2018,93,Y
051901040006,UNION SPRINGS MIDDLE SCHOOL,2018,96,Y
060201060000,SOUTHWESTERN CENTRAL SCHOOL DISTRICT AT JAMESTOWN,2018,96,Y
060201060003,SOUTHWESTERN SENIOR HIGH SCHOOL,2018,95,Y
060201060006,SOUTHWESTERN MIDDLE SCHOOL,2018,96,Y
060201060007,SOUTHWESTERN ELEMENTARY SCHOOL,2018,96,Y
060301040000,FREWSBURG CENTRAL SCHOOL DISTRICT,2018,96,Y
060301040002,ROBERT H JACKSON ELEMENTARY SCHOOL,2018,96,Y
060301040004,FREWSBURG JUNIOR-SENIOR HIGH SCHOOL,2018,96,Y
060401040000,CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,2018,94,Y
060401040003,SINCLAIRVILLE ELEMENTARY SCHOOL,2018,94,Y
060401040006,CASSADAGA VALLEY MIDDLE/HIGH SCHOOL,2018,95,Y
060503040000,CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,2018,95,Y
060503040001,CHAUTAUQUA LAKE SECONDARY SCHOOL,2018,95,Y
060503040002,CHAUTAUQUA LAKE ELEMENTARY SCHOOL,2018,95,Y
060601040000,PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON),2018,92,Y
060601040002,PINE VALLEY ELEMENTARY SCHOOL,2018,91,Y
060601040003,PINE VALLEY CENTRAL JUNIOR-SENIOR HIGH SCHOOL,2018,92,Y
060701040000,CLYMER CENTRAL SCHOOL DISTRICT,2018,96,Y
060701040003,CLYMER CENTRAL SCHOOL,2018,96,Y
060800010000,DUNKIRK CITY SCHOOL DISTRICT,2018,93,Y
060800010003,SCHOOL 3,2018,93,Y
060800010004,SCHOOL 4,2018,94,Y
060800010005,SCHOOL 5,2018,94,Y
060800010007,SCHOOL 7,2018,93,Y
060800010009,DUNKIRK SENIOR HIGH SCHOOL,2018,91,Y
060800010010,DUNKIRK MIDDLE SCHOOL,2018,95,Y
061001040000,BEMUS POINT CENTRAL SCHOOL DISTRICT,2018,95,Y
061001040001,BEMUS POINT ELEMENTARY SCHOOL,2018,95,Y
061001040005,MAPLE GROVE JUNIOR/SENIOR HIGH SCHOOL,2018,94,Y
061101040000,FALCONER CENTRAL SCHOOL DISTRICT,2018,95,Y
061101040001,HARVEY C FENNER ELEMENTARY SCHOOL,2018,96,Y
061101040007,FALCONER MIDDLE/HIGH SCHOOL,2018,95,Y
061101040009,PAUL B D TEMPLE ELEMENTARY SCHOOL,2018,95,Y
061501040000,SILVER CREEK CENTRAL SCHOOL DISTRICT,2018,94,Y
061501040001,SILVER CREEK HIGH SCHOOL,2018,91,Y
061501040002,SILVER CREEK MIDDLE SCHOOL,2018,95,Y
061501040003,SILVER CREEK ELEMENTARY SCHOOL,2018,94,Y
061503040000,FORESTVILLE CENTRAL SCHOOL DISTRICT,2018,95,Y
061503040002,FORESTVILLE ELEMENTARY SCHOOL,2018,95,Y
061503040003,FORESTVILLE CENTRAL HIGH SCHOOL,2018,95,Y
061601040000,PANAMA CENTRAL SCHOOL DISTRICT,2018,95,Y
061601040001,PANAMA HIGH SCHOOL,2018,95,Y
061601040003,PANAMA K-6 SCHOOL,2018,95,Y
061700010000,JAMESTOWN CITY SCHOOL DISTRICT,2018,91,Y
061700010001,CARLYLE C RING ELEMENTARY SCHOOL,2018,91,Y
061700010003,CLINTON V BUSH ELEMENTARY SCHOOL,2018,94,Y
061700010006,PERSELL MIDDLE SCHOOL,2018,94,Y
061700010007,MILTON J FLETCHER ELEMENTARY SCHOOL,2018,91,Y
061700010009,SAMUEL G LOVE ELEMENTARY SCHOOL,2018,89,Y
061700010010,THOMAS JEFFERSON MIDDLE SCHOOL,2018,92,Y
061700010011,ABRAHAM LINCOLN ELEMENTARY SCHOOL,2018,93,Y
061700010012,GEORGE WASHINGTON MIDDLE SCHOOL,2018,93,Y
061700010013,JAMESTOWN HIGH SCHOOL,2018,89,Y
062201060000,FREDONIA CENTRAL SCHOOL DISTRICT,2018,95,Y
062201060001,FREDONIA ELEMENTARY SCHOOL,2018,95,Y
062201060002,FREDONIA MIDDLE SCHOOL,2018,95,Y
062201060003,FREDONIA HIGH SCHOOL,2018,97,Y
062301040000,BROCTON CENTRAL SCHOOL DISTRICT,2018,95,Y
062301040002,BROCTON ELEMENTARY SCHOOL,2018,94,Y
062301040003,BROCTON MIDDLE HIGH SCHOOL,2018,95,Y
062401040000,RIPLEY CENTRAL SCHOOL DISTRICT,2018,92,Y
062401040001,RIPLEY CENTRAL SCHOOL,2018,92,Y
062601040000,SHERMAN CENTRAL SCHOOL DISTRICT,2018,93,Y
062601040002,SHERMAN ELEMENTARY SCHOOL,2018,95,Y
062601040003,SHERMAN HIGH SCHOOL,2018,90,Y
062901040000,WESTFIELD CENTRAL SCHOOL DISTRICT,2018,93,Y
062901040001,WESTFIELD ELEMENTARY SCHOOL,2018,93,Y
062901040002,WESTFIELD HIGH SCHOOL,2018,92,Y
062901040004,WESTFIELD MIDDLE SCHOOL,2018,93,Y
070600010000,ELMIRA CITY SCHOOL DISTRICT,2018,92,Y
070600010006,DIVEN SCHOOL,2018,93,Y
070600010007,FASSETT ELEMENTARY SCHOOL,2018,92,Y
070600010010,HENDY AVENUE SCHOOL,2018,93,Y
070600010013,PARLEY COBURN SCHOOL,2018,92,Y
070600010014,PINE CITY SCHOOL,2018,95,Y
070600010015,RIVERSIDE SCHOOL,2018,91,Y
070600010016,THOMAS K BEECHER SCHOOL,2018,93,Y
070600010019,BROADWAY ACADEMY,2018,93,Y
070600010020,ELMIRA HIGH SCHOOL,2018,90,Y
070600010021,ERNIE DAVIS ACADEMY,2018,91,Y
070600010022,BROADWAY ELEMENTARY SCHOOL,2018,95,Y
070600861078,FINN ACADEMY-AN ELMIRA CHARTER SCHOO,2018,99,Y
070901060000,HORSEHEADS CENTRAL SCHOOL DISTRICT,2018,96,Y
070901060003,CENTER STREET SCHOOL,2018,95,Y
070901060004,RIDGE ROAD SCHOOL,2018,96,Y
070901060005,BIG FLATS SCHOOL,2018,96,Y
070901060007,HORSEHEADS SENIOR HIGH SCHOOL,2018,95,Y
070901060009,GARDNER ROAD ELEMENTARY SCHOOL,2018,95,Y
070901060010,HORSEHEADS MIDDLE SCHOOL,2018,96,Y
070901060011,HORSEHEADS INTERMEDIATE SCHOOL,2018,96,Y
070902060000,ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,2018,95,Y
070902060002,THOMAS A EDISON HIGH SCHOOL,2018,93,Y
070902060004,COHEN MIDDLE SCHOOL,2018,95,Y
070902060006,COHEN ELEMENTARY SCHOOL,2018,95,Y
080101040000,AFTON CENTRAL SCHOOL DISTRICT,2018,93,Y
080101040002,AFTON ELEMENTARY SCHOOL,2018,94,Y
080101040003,AFTON JUNIOR/SENIOR HIGH SCHOOL,2018,93,Y
080201040000,BAINBRIDGE-GUILFORD CENTRAL SCHOOL DISTRICT,2018,92,Y
080201040001,BAINBRIDGE-GUILFORD HIGH SCHOOL,2018,89,Y
080201040002,GREENLAWN ELEMENTARY SCHOOL,2018,95,Y
080201040003,GUILFORD ELEMENTARY SCHOOL,2018,93,Y
080601040000,GREENE CENTRAL SCHOOL DISTRICT,2018,96,Y
080601040001,GREENE PRIMARY SCHOOL,2018,96,Y
080601040002,GREENE INTERMEDIATE SCHOOL,2018,96,Y
080601040003,GREENE HIGH SCHOOL,2018,95,Y
080601040004,GREENE MIDDLE SCHOOL,2018,96,Y
