ENTITY_CD,ENTITY_NAME,YEAR,NUM_FREE_LUNCH,PER_FREE_LUNCH,NUM_REDUCED_LUNCH,PER_REDUCED_LUNCH
000000000001,NYC Public Schools,2018,670164,72,37424,4
000000000002,Large Cities,2018,81038,79,1004,1
000000000003,High Need/Resource Urban-Suburban Districts,2018,141728,69,8723,4
000000000004,High Need/Resource Rural Districts,2018,72007,51,9301,7
000000000005,Average Need Districts,2018,241901,33,35802,5
000000000006,Low Need Districts,2018,44433,12,7061,2
000000000007,Charter Schools,2018,102251,73,9352,7
000001000000,ALBANY County,2018,15258,39,1014,3
000002000000,ALLEGANY County,2018,2840,47,408,7
000003000000,BROOME County,2018,12602,49,1108,4
000004000000,CATTARAUGUS County,2018,5860,47,815,7
000005000000,CAYUGA County,2018,3856,43,312,3
000006000000,CHAUTAUQUA County,2018,9086,50,633,4
000007000000,CHEMUNG County,2018,5289,48,325,3
000008000000,CHENANGO County,2018,3544,51,513,7
000009000000,CLINTON County,2018,4350,41,426,4
000010000000,COLUMBIA County,2018,3088,45,300,4
000011000000,CORTLAND County,2018,2699,46,331,6
000012000000,DELAWARE County,2018,2385,46,293,6
000013000000,DUTCHESS County,2018,11481,30,1701,4
000014000000,ERIE County,2018,55159,45,4460,4
000015000000,ESSEX County,2018,1463,40,216,6
000016000000,FRANKLIN County,2018,3584,51,456,6
000017000000,FULTON County,2018,3386,46,346,5
000018000000,GENESEE County,2018,3064,39,474,6
000019000000,GREENE County,2018,2319,41,236,4
000020000000,HAMILTON County,2018,152,37,30,7
000021000000,HERKIMER County,2018,4168,47,628,7
000022000000,JEFFERSON County,2018,7401,43,1650,10
000023000000,LEWIS County,2018,1677,42,389,10
000024000000,LIVINGSTON County,2018,2794,38,333,4
000025000000,MADISON County,2018,3517,38,531,6
000026000000,MONROE County,2018,48849,47,3637,3
000027000000,MONTGOMERY County,2018,3990,56,246,3
000000000001,NYC Public Schools,2019,649599,71,31885,3
000000000002,Large Cities,2019,81450,80,1102,1
000000000003,High Need/Resource Urban-Suburban Districts,2019,138355,68,7004,3
000000000004,High Need/Resource Rural Districts,2019,70912,50,7964,6
000000000005,Average Need Districts,2019,242045,33,32968,5
000000000006,Low Need Districts,2019,47012,13,6660,2
000000000007,Charter Schools,2019,107888,73,9348,6
000001000000,ALBANY County,2019,15372,40,1022,3
000002000000,ALLEGANY County,2019,2760,46,272,5
000003000000,BROOME County,2019,12237,48,873,3
000004000000,CATTARAUGUS County,2019,5783,47,557,5
000005000000,CAYUGA County,2019,3810,43,278,3
000006000000,CHAUTAUQUA County,2019,8965,50,590,3
000007000000,CHEMUNG County,2019,5140,47,312,3
000008000000,CHENANGO County,2019,3298,47,404,6
000009000000,CLINTON County,2019,4470,42,412,4
000010000000,COLUMBIA County,2019,3063,46,287,4
000011000000,CORTLAND County,2019,2755,47,239,4
000012000000,DELAWARE County,2019,2307,45,210,4
000013000000,DUTCHESS County,2019,12186,32,1479,4
000014000000,ERIE County,2019,54293,45,4252,3
000000000001,NYC Public Schools,2020,642417,71,27282,3
000000000002,Large Cities,2020,80532,81,860,1
000000000003,High Need/Resource Urban-Suburban Districts,2020,138749,68,5742,3
000000000004,High Need/Resource Rural Districts,2020,69288,50,7268,5
000000000005,Average Need Districts,2020,243499,34,31583,4
000000000006,Low Need Districts,2020,48648,14,6706,2
000000000007,Charter Schools,2020,120704,76,8508,5
000001000000,ALBANY County,2020,14904,38,960,2
000002000000,ALLEGANY County,2020,2742,47,291,5
000003000000,BROOME County,2020,11348,45,794,3
000004000000,CATTARAUGUS County,2020,5765,47,516,4
000005000000,CAYUGA County,2020,3918,45,235,3
000006000000,CHAUTAUQUA County,2020,9246,52,537,3
000007000000,CHEMUNG County,2020,5006,46,287,3
000008000000,CHENANGO County,2020,3320,48,339,5
000009000000,CLINTON County,2020,4113,39,393,4
000010000000,COLUMBIA County,2020,2813,44,148,2
000028000000,NASSAU County,2018,53195,26,6462,3
000030000000,NYC Public Schools,2018,20728,86,111,0
000011000000,CORTLAND County,2020,2618,46,209,4
000012000000,DELAWARE County,2020,2121,42,175,3
000013000000,DUTCHESS County,2020,12367,33,1476,4
000014000000,ERIE County,2020,56525,47,3636,3
000015000000,ESSEX County,2020,1433,42,216,6
000016000000,FRANKLIN County,2020,3506,51,397,6
000017000000,FULTON County,2020,3398,48,273,4
000018000000,GENESEE County,2020,3070,40,445,6
000019000000,GREENE County,2020,2337,42,110,2
000020000000,HAMILTON County,2020,137,38,24,7
000021000000,HERKIMER County,2020,4302,50,535,6
000022000000,JEFFERSON County,2020,7248,43,1441,9
000023000000,LEWIS County,2020,1625,42,389,10
000024000000,LIVINGSTON County,2020,2785,39,251,4
000025000000,MADISON County,2020,3399,38,479,5
000026000000,MONROE County,2020,48793,47,3305,3
000027000000,MONTGOMERY County,2020,4055,57,191,3
000028000000,NASSAU County,2020,52238,26,5519,3
000030000000,NYC Public Schools,2020,22071,87,59,0
000031000000,NEW YORK County,2020,102899,63,4718,3
000032000000,BRONX County,2020,177780,85,4826,2
000033000000,KINGS County,2020,220465,72,10103,3
000034000000,QUEENS County,2020,184093,68,11910,4
000031000000,NEW YORK County,2018,104437,64,6035,4
000032000000,BRONX County,2018,180736,84,6557,3
000033000000,KINGS County,2018,224975,73,13198,4
000034000000,QUEENS County,2018,188794,68,16122,6
000035000000,RICHMOND County,2018,31916,54,2989,5
000040000000,NIAGARA County,2018,11886,43,1347,5
000041000000,ONEIDA County,2018,16638,50,1594,5
000042000000,ONONDAGA County,2018,30315,45,2275,3
000043000000,ONTARIO County,2018,4997,33,703,5
000044000000,ORANGE County,2018,22082,38,2616,5
000045000000,ORLEANS County,2018,2707,50,337,6
000046000000,OSWEGO County,2018,8940,48,1073,6
000047000000,OTSEGO County,2018,2602,39,408,6
000048000000,PUTNAM County,2018,2694,19,307,2
000049000000,RENSSELAER County,2018,8260,42,749,4
000050000000,ROCKLAND County,2018,15293,39,1647,4
000051000000,ST. LAWRENCE County,2018,6807,48,841,6
000052000000,SARATOGA County,2018,7042,21,828,2
000053000000,SCHENECTADY County,2018,9793,46,745,4
000054000000,SCHOHARIE County,2018,1806,45,269,7
000055000000,SCHUYLER County,2018,797,45,88,5
000056000000,SENECA County,2018,1819,47,230,6
000057000000,STEUBEN County,2018,6264,44,875,6
000058000000,SUFFOLK County,2018,79096,34,9305,4
000059000000,SULLIVAN County,2018,5000,55,377,4
000060000000,TIOGA County,2018,3266,46,418,6
000061000000,TOMPKINS County,2018,3784,36,460,4
000062000000,ULSTER County,2018,9122,41,1040,5
000063000000,WARREN County,2018,3164,37,315,4
000064000000,WASHINGTON County,2018,3576,43,381,5
000065000000,WAYNE County,2018,5699,42,775,6
000066000000,WESTCHESTER County,2018,49020,34,4989,3
000067000000,WYOMING County,2018,1379,36,270,7
000068000000,YATES County,2018,1032,52,120,6
000099000000,NYC Public Schools County,2018,751586,72,45012,4
010100010000,ALBANY CITY SCHOOL DISTRICT,2018,6220,69,77,1
010100010014,MONTESSORI MAGNET SCHOOL,2018,103,35,4,1
010100010016,PINE HILLS ELEMENTARY SCHOOL,2018,266,71,0,0
010100010018,DELAWARE COMMUNITY SCHOOL,2018,306,76,2,0
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2018,216,43,1,0
010100010020,NORTH ALBANY ACADEMY,2018,250,87,1,0
010100010023,ALBANY SCHOOL OF HUMANITIES,2018,304,60,0,0
010100010027,EAGLE POINT ELEMENTARY SCHOOL,2018,144,44,10,3
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2018,315,72,2,0
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2018,458,89,4,1
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2018,450,67,7,1
010100010034,ALBANY HIGH SCHOOL,2018,1645,63,33,1
010100010039,ARBOR HILL ELEMENTARY SCHOOL,2018,286,91,1,0
010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2018,245,88,0,0
010100010044,SHERIDAN PREPARATORY ACADEMY,2018,334,88,1,0
010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2018,479,71,3,0
010100010050,EDMUND J O'NEAL MS OF EXCELLENCE,2018,419,89,8,2
010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2018,282,88,16,5
010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,2018,288,85,1,0
010100860867,KIPP TECH VALLEY CHARTER SCHOOL,2018,409,83,0,0
010100860892,HENRY JOHNSON CHARTER SCHOOL,2018,278,76,13,4
010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2018,546,80,49,7
010100860907,GREEN TECH HIGH CHARTER SCHOOL,2018,231,65,10,3
010100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2018,293,82,31,9
010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,2018,241,32,47,6
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2018,109,30,20,6
010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2018,132,33,27,7
010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,2018,519,11,37,1
010306060003,ELSMERE ELEMENTARY SCHOOL,2018,45,16,3,1
010306060004,GLENMONT ELEMENTARY SCHOOL,2018,34,10,3,1
010306060005,HAMAGRAEL ELEMENTARY SCHOOL,2018,33,10,1,0
010306060006,SLINGERLANDS ELEMENTARY SCHOOL,2018,57,12,4,1
010306060007,BETHLEHEM CENTRAL MIDDLE SCHOOL,2018,133,12,9,1
010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2018,174,11,11,1
010306060009,EAGLE ELEMENTARY SCHOOL,2018,43,11,6,1
010402060000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,2018,653,37,73,4
010402060001,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,2018,201,36,24,4
010402060002,ALBERTUS W BECKER SCHOOL,2018,116,30,18,5
010402060003,PIETER B COEYMANS SCHOOL,2018,170,40,17,4
010402060008,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL,2018,166,40,14,3
010500010000,COHOES CITY SCHOOL DISTRICT,2018,1149,61,72,4
010500010005,ABRAM LANSING SCHOOL,2018,236,59,7,2
010500010006,VAN SCHAICK ISLAND SCHOOL,2018,82,53,6,4
010500010007,COHOES HIGH SCHOOL,2018,318,59,32,6
010500010008,COHOES MIDDLE SCHOOL,2018,292,74,20,5
010500010009,HARMONY HILL SCHOOL,2018,221,55,7,2
010601060000,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,2018,1354,29,193,4
010601060003,ROESSLEVILLE SCHOOL,2018,135,40,14,4
010601060005,SADDLEWOOD ELEMENTARY SCHOOL,2018,68,21,11,3
010601060006,SHAKER ROAD ELEMENTARY SCHOOL,2018,107,30,18,5
010601060008,COLONIE CENTRAL HIGH SCHOOL,2018,449,29,73,5
010601060010,FOREST PARK ELEMENTARY SCHOOL,2018,75,27,7,3
