ENTITY_CD,SCHOOL_NAME,YEAR,DISTRICT_CD,DISTRICT_NAME,CSO_NAME,STREET,CITY,PHONE,GRADE_RANGE,NUM_PRINC,NUM_TEACH,NUM_COUNSELORS,NUM_SOCIAL,PER_ATTEND,PER_TURN_ALL,PER_TURN_FIVE_YRS
010100010000,ALBANY CITY SCHOOL DISTRICT,2018,01010001,ALBANY CITY SD,MARGUERITE VANDEN WYNGAARD,ACADEMY PARK,ALBANY,5184756010,"PK-12, UE, US",18,708,22,34,96,11,19
010100010014,MONTESSORI MAGNET SCHOOL,2018,01010001,ALBANY CITY SD,MALIK JONES,45 TREMONT ST,ALBANY,5184756675,"K-5, UE",1,24,0,1,,,
010100010016,PINE HILLS ELEMENTARY SCHOOL,2018,01010001,ALBANY CITY SD,VIBETTA SANDERS,41 N ALLEN ST,ALBANY,5184756725,"K-5, UE",1,29,0,1,,,
010100010018,DELAWARE COMMUNITY SCHOOL,2018,01010001,ALBANY CITY SD,REBECCA GLEASON,43 BERTHA ST,ALBANY,5184756750,K-5,1,31,0,1,,,
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2018,01010001,ALBANY CITY SD,DAVID AMODEO,385 NEW SCOTLAND AVE,ALBANY,5184756775,"K-5, UE",1,36,0,1,,,
010100010020,NORTH ALBANY ACADEMY,2018,01010001,ALBANY CITY SD,LESLEY BUFF,570 N PEARL ST,ALBANY,5184756800,"K-5, UE",1,22,0,2,,,
010100010023,ALBANY SCHOOL OF HUMANITIES,2018,01010001,ALBANY CITY SD,C FRED ENGELHARDT,108 WHITEHALL RD,ALBANY,5184756575,"K-6, UE",1,38,0,1,,,
010100010027,EAGLE POINT ELEMENTARY SCHOOL,2018,01010001,ALBANY CITY SD,KENDRA CHAIRES,1044 WESTERN AVE,ALBANY,5184756825,K-6,1,25,0,1,,,
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2018,01010001,ALBANY CITY SD,SHELLETTE PLEAT,94 DELAWARE AVE,ALBANY,5184756875,K-6,1,31,0,2,,,
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2018,01010001,ALBANY CITY SD,JASMINE BROWN,274 S PEARL ST,ALBANY,5184756650,K-6,1,45,0,2,,,
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2018,01010001,ALBANY CITY SD,MICHAEL PAOLINO,45 DELAWARE AVE,ALBANY,5184756475,"6-8, US",1,69,2,2,,,
010100010034,ALBANY HIGH SCHOOL,2018,01010001,ALBANY CITY SD,CECILY WILSON,700 WASHINGTON AVE,ALBANY,5184756200,"9-12, US",2,212,12,10,,,
010100010039,ARBOR HILL ELEMENTARY SCHOOL,2018,01010001,ALBANY CITY SD,ROSALIND GAINES-HARRELL,1 ARBOR DR,ALBANY,5184756625,"K-5, UE",1,29,0,2,,,
010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2018,01010001,ALBANY CITY SD,JALINDA SOTO,676 CLINTON AVE,ALBANY,5184756700,K-5,1,26,0,1,,,
010100010044,SHERIDAN PREPARATORY ACADEMY,2018,01010001,ALBANY CITY SD,ZULEIKA SANCHEZ-GAYLE,400 SHERIDAN AVE,ALBANY,5184756850,K-5,1,24,0,1,,,
010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2018,01010001,ALBANY CITY SD,KIMBERLY WILKINS,100 ELBEL CT,ALBANY,5184756425,6-8,1,64,3,2,,,
010100010050,EDMUND J O'NEAL MS OF EXCELLENCE,2018,01010001,ALBANY CITY SD,MALIK JONES,50 N LARK AVE,ALBANY,5184756600,"6-8, UE, US",2,46,3,2,,,
010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2018,,,KAREN MCLEAN,116 N LAKE AVE,ALBANY,5186948200,K-5,1,21,1,0,97,30,43
010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,2018,,,MARCUS PUCCIONI,250 CENTRAL AVE,ALBANY,5186944100,K-5,1,21,1,0,99,32,36
010100860867,KIPP TECH VALLEY CHARTER SCHOOL,2018,,,DUSTIN MITCHELL,321 NORTHERN BLVD,ALBANY,5186949494,"K-1, 5-8",2,28,2,0,98,33,50
010100860892,HENRY JOHNSON CHARTER SCHOOL,2018,,,TIFFANI CURTIS,30 WATERVLIET AVE,ALBANY,5184324300,K-4,1,27,0,0,82,28,33
010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2018,,,S NEAL CURRIE,65 KRANK ST,ALBANY,5184331500,K-8,2,42,1,0,97,37,33
010100860907,GREEN TECH HIGH CHARTER SCHOOL,2018,,,PAUL MILLER,99 SLINGERLAND ST,ALBANY,5186943400,9-12,1,32,3,0,96,30,22
010100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2018,,,CHRISTINA ROBERTS,19 HACKETT BLVD,ALBANY,5186945300,9-12,1,37,2,1,98,29,33
