max_depth,n_estimators,reg_lambda,MAE,R2,Index
3,100,4.0,0.03585356598033635,0.6388285300737037,0
3,100,6.0,0.035936074133898835,0.6389081774860281,1
3,100,8.0,0.0359446522907495,0.6395062655092352,2
3,100,10.0,0.03604681573449462,0.6353820380405016,3
3,100,12.0,0.036171916539452495,0.633881717038007,4
3,200,4.0,0.03502584992727605,0.6522333507355889,5
3,200,6.0,0.03513410137956955,0.6524652807139182,6
3,200,8.0,0.03522504148155086,0.6557839854002813,7
3,200,10.0,0.03524786335609142,0.6515659967234295,8
3,200,12.0,0.03532410823304007,0.6489393344248358,9
3,300,4.0,0.034835261962935675,0.6547488221063074,10
3,300,6.0,0.03475301177582022,0.6596949783222058,11
3,300,8.0,0.034871944995983915,0.6616565032999221,12
3,300,10.0,0.034877076053402664,0.6583476864658174,13
3,300,12.0,0.03487472117986192,0.6569247688148927,14
3,400,4.0,0.03479509612984335,0.6542665328126481,15
3,400,6.0,0.03467339717372945,0.660896766831284,16
3,400,8.0,0.034561070614844494,0.6663049103353552,17
3,400,10.0,0.03471086029119854,0.6613036586988562,18
3,400,12.0,0.03474023031815659,0.6591223687689566,19
3,500,4.0,0.03479509612984335,0.6542665328126481,20
3,500,6.0,0.03462808605578195,0.6616603153580012,21
3,500,8.0,0.034512942781161224,0.666680273214465,22
3,500,10.0,0.03464178896853989,0.662791339806189,23
3,500,12.0,0.034695578623754345,0.6596430603845338,24
5,100,4.0,0.03509514398690006,0.6518245245934103,25
5,100,6.0,0.035534085487799065,0.6475393676380161,26
5,100,8.0,0.03504715237686183,0.6540918658262043,27
5,100,10.0,0.03529980879600582,0.6555953137209591,28
5,100,12.0,0.03519487119588482,0.6550910335302721,29
5,200,4.0,0.0348489789523503,0.6519628289420573,30
5,200,6.0,0.03498670195386695,0.6518670853314765,31
5,200,8.0,0.03462288792592338,0.6591765211746349,32
5,200,10.0,0.03462208808004398,0.6623724092722599,33
5,200,12.0,0.03458546189903387,0.6628940767605919,34
5,300,4.0,0.03485773541749413,0.651873520846002,35
5,300,6.0,0.03503345621357292,0.650866925850541,36
5,300,8.0,0.034628484082709826,0.6594052572722557,37
5,300,10.0,0.03453779693004447,0.6616036901784175,38
5,300,12.0,0.034523468924404985,0.6621495708756898,39
5,400,4.0,0.03485773541749413,0.651873520846002,40
5,400,6.0,0.03503345621357292,0.650866925850541,41
5,400,8.0,0.034628484082709826,0.6594052572722557,42
5,400,10.0,0.03453779693004447,0.6616036901784175,43
5,400,12.0,0.034523468924404985,0.6621495708756898,44
5,500,4.0,0.03485773541749413,0.651873520846002,45
5,500,6.0,0.03503345621357292,0.650866925850541,46
5,500,8.0,0.034628484082709826,0.6594052572722557,47
5,500,10.0,0.03453779693004447,0.6616036901784175,48
5,500,12.0,0.034523468924404985,0.6621495708756898,49
7,100,4.0,0.03520895809468361,0.6464641898005914,50
7,100,6.0,0.03528386069631978,0.6450731160207626,51
7,100,8.0,0.03503625201728634,0.6557598821109318,52
7,100,10.0,0.03506189791967377,0.6573766340498808,53
7,100,12.0,0.03502404688371462,0.657429829601438,54
7,200,4.0,0.035168619463163,0.6455665598585041,55
7,200,6.0,0.03517802704935232,0.644794066131331,56
7,200,8.0,0.03491681148975336,0.6554722095939076,57
7,200,10.0,0.03482326973248783,0.657362805964198,58
7,200,12.0,0.03478466060725362,0.6577996903246218,59
7,300,4.0,0.035168619463163,0.6455665598585041,60
7,300,6.0,0.03517802704935232,0.644794066131331,61
7,300,8.0,0.03491681148975336,0.6554722095939076,62
7,300,10.0,0.03482326973248783,0.657362805964198,63
7,300,12.0,0.03479455299636673,0.6579441114076792,64
7,400,4.0,0.035168619463163,0.6455665598585041,65
7,400,6.0,0.03517802704935232,0.644794066131331,66
7,400,8.0,0.03491681148975336,0.6554722095939076,67
7,400,10.0,0.03482326973248783,0.657362805964198,68
7,400,12.0,0.03479455299636673,0.6579441114076792,69
7,500,4.0,0.035168619463163,0.6455665598585041,70
