ind,aggregation_code,county_name,aggregation_name,cohort,gender,dropout_pct,PUPIL_COUNT_TOT,PER_FEDERAL_EXP,PER_STATE_LOCAL_EXP,PER_TEACH_INEXP,TEACH_PER_PUPIL,ATTENDANCE_RATE,PER_SUSPENSIONS,PER_FREE_LUNCH,cty_pop_under_18,cty_pop_over_65,cty_female,cty_foreign_born,cty_owner_occupied,cty_housing_unit_median_value,cty_pers_pers_household,cty_same_house,cty_non_english,cty_with_computer,cty_with_internet,cty_hs_graduates,cty_uni_degree,cty_time_to_work,cty_med_household_income,cty_poverty,cty_pop_density,COUNSELORS_PER_PUPIL,SOCIAL_PER_PUPIL
0,10100010034,ALBANY,ALBANY HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Female,0.1676829268292683,2574.0,476.0,12989.0,0.11,0.08663558663558664,0.86,0.0,0.61,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005439005439005439,0.004662004662004662
1,10100010034,ALBANY,ALBANY HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Male,0.25,2574.0,476.0,12989.0,0.11,0.08663558663558664,0.86,0.0,0.61,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005439005439005439,0.004662004662004662
2,10100010034,ALBANY,ALBANY HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Female,0.15915915915915915,2574.0,476.0,12989.0,0.11,0.08663558663558664,0.86,0.0,0.61,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005439005439005439,0.004662004662004662
3,10100010034,ALBANY,ALBANY HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Male,0.2177650429799427,2574.0,476.0,12989.0,0.11,0.08663558663558664,0.86,0.0,0.61,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005439005439005439,0.004662004662004662
4,10100010034,ALBANY,ALBANY HIGH SCHOOL,2016 Total Cohort - 4 Year Outcome,Female,0.12637362637362637,2574.0,476.0,12989.0,0.11,0.08663558663558664,0.86,0.0,0.61,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005439005439005439,0.004662004662004662
5,10100010034,ALBANY,ALBANY HIGH SCHOOL,2016 Total Cohort - 4 Year Outcome,Male,0.11711711711711711,2574.0,476.0,12989.0,0.11,0.08663558663558664,0.86,0.0,0.61,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005439005439005439,0.004662004662004662
6,10100860907,ALBANY,GREEN TECH HIGH CHARTER SCHOOL,2014 Total Cohort - 6 Year Outcome,Male,0.019230769230769232,358.0,362.0,14159.0,0.15,0.10893854748603352,0.93,0.28,0.62,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.008379888268156424,0.0
7,10100860907,ALBANY,GREEN TECH HIGH CHARTER SCHOOL,2015 Total Cohort - 5 Year Outcome,Male,0.0,358.0,362.0,14159.0,0.15,0.10893854748603352,0.93,0.28,0.62,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.008379888268156424,0.0
8,10100860907,ALBANY,GREEN TECH HIGH CHARTER SCHOOL,2016 Total Cohort - 4 Year Outcome,Male,0.029850746268656716,358.0,362.0,14159.0,0.15,0.10893854748603352,0.93,0.28,0.62,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.008379888268156424,0.0
9,10100860960,ALBANY,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2014 Total Cohort - 6 Year Outcome,Female,0.04411764705882353,309.0,1062.0,15166.0,0.24,0.12297734627831715,0.85,0.13,0.86,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.009708737864077669,0.003236245954692557
10,10100860960,ALBANY,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2015 Total Cohort - 5 Year Outcome,Female,0.11702127659574468,309.0,1062.0,15166.0,0.24,0.12297734627831715,0.85,0.13,0.86,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.009708737864077669,0.003236245954692557
11,10100860960,ALBANY,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2016 Total Cohort - 4 Year Outcome,Female,0.0641025641025641,309.0,1062.0,15166.0,0.24,0.12297734627831715,0.85,0.13,0.86,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.009708737864077669,0.003236245954692557
12,10201040001,ALBANY,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Female,0.0,344.0,482.0,19128.0,0.16,0.1308139534883721,0.9400000000000001,0.02,0.33,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005813953488372093,0.0
13,10201040001,ALBANY,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Male,0.024390243902439025,344.0,482.0,19128.0,0.16,0.1308139534883721,0.9400000000000001,0.02,0.33,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005813953488372093,0.0
14,10201040001,ALBANY,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Female,0.041666666666666664,344.0,482.0,19128.0,0.16,0.1308139534883721,0.9400000000000001,0.02,0.33,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005813953488372093,0.0
15,10201040001,ALBANY,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Male,0.0625,344.0,482.0,19128.0,0.16,0.1308139534883721,0.9400000000000001,0.02,0.33,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005813953488372093,0.0
16,10201040001,ALBANY,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2016 Total Cohort - 4 Year Outcome,Female,0.0,344.0,482.0,19128.0,0.16,0.1308139534883721,0.9400000000000001,0.02,0.33,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005813953488372093,0.0
17,10201040001,ALBANY,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2016 Total Cohort - 4 Year Outcome,Male,0.03225806451612903,344.0,482.0,19128.0,0.16,0.1308139534883721,0.9400000000000001,0.02,0.33,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005813953488372093,0.0
18,10306060008,ALBANY,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Female,0.034653465346534656,1501.0,147.0,11966.0,0.1,0.07728181212524983,0.96,0.01,0.12,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005329780146568954,0.0006662225183211193
19,10306060008,ALBANY,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Male,0.03636363636363636,1501.0,147.0,11966.0,0.1,0.07728181212524983,0.96,0.01,0.12,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005329780146568954,0.0006662225183211193
20,10306060008,ALBANY,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Female,0.0,1501.0,147.0,11966.0,0.1,0.07728181212524983,0.96,0.01,0.12,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005329780146568954,0.0006662225183211193
21,10306060008,ALBANY,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Male,0.04591836734693878,1501.0,147.0,11966.0,0.1,0.07728181212524983,0.96,0.01,0.12,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005329780146568954,0.0006662225183211193
22,10306060008,ALBANY,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2016 Total Cohort - 4 Year Outcome,Female,0.014705882352941176,1501.0,147.0,11966.0,0.1,0.07728181212524983,0.96,0.01,0.12,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005329780146568954,0.0006662225183211193
23,10306060008,ALBANY,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2016 Total Cohort - 4 Year Outcome,Male,0.04,1501.0,147.0,11966.0,0.1,0.07728181212524983,0.96,0.01,0.12,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005329780146568954,0.0006662225183211193
24,10402060001,ALBANY,RAVENA SENIOR HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Female,0.04,524.0,353.0,14176.0,0.12,0.11259541984732824,0.92,0.13,0.33,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0057251908396946565,0.0019083969465648854
25,10402060001,ALBANY,RAVENA SENIOR HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Male,0.07692307692307693,524.0,353.0,14176.0,0.12,0.11259541984732824,0.92,0.13,0.33,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0057251908396946565,0.0019083969465648854
26,10402060001,ALBANY,RAVENA SENIOR HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Female,0.011627906976744186,524.0,353.0,14176.0,0.12,0.11259541984732824,0.92,0.13,0.33,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0057251908396946565,0.0019083969465648854
27,10402060001,ALBANY,RAVENA SENIOR HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Male,0.15,524.0,353.0,14176.0,0.12,0.11259541984732824,0.92,0.13,0.33,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0057251908396946565,0.0019083969465648854
